,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,state
273,/property/putra-heights/sale-8249540/,"The Glades, Putra Heights",Semi-detached House  , 3500000,"The Glades, 47650, Selangor", 4951 sq. ft., 4951 sq. ft.,5+1,6," 15,774 ",Semi-detached House,Freehold,-, Selangor
274,/new-property/property/kota-kemuning/aman-1-tropicana-aman/new-5953/,"Aman 1, Tropicana Aman",Apartment  ,0,"Kota Kemuning, Selangor", From 870 - 1000 sq. ft., From 870 - 1000 sq. ft.,2 - 3,2," 1,848 ",Residential,N/A,From RM 448, Selangor
275,/property/iskandar-puteri-nusajaya/sale-7928434/,"Bukit Indah, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 585000,"jalan indah 19 , johor bahru, Bukit Indah, 81200, Johor", 1750 sq. ft., 1750 sq. ft.,4,3," 2,637 ",2-sty Terrace/Link House,Freehold,-, Johor
276,/property/bandar-utama/sale-6300311/,"BU, BU6, PJ, Petaling Jaya, Bandar Utama",2.5-sty Terrace/Link House | Intermediate  , 1700000,"BU, BU6, PJ, Petaling Jaya, Selangor", 3200 sq. ft., 3200 sq. ft.,5+1,4," 7,662 ",2.5-sty Terrace/Link House,Freehold,-, Selangor
277,/property/johor-bahru/r-f-princess-cove/sale-8042668/,"R&F Princess Cove, Johor Bahru",Serviced Residence  , 715000,"Jalan Tanjung Puteri, Johor Bahru, Johor", 544 sq. ft., 544 sq. ft.,1,1," 3,222 ",Serviced Residence,Freehold,-, Johor
278,/new-property/property/seremban/cadena-iii-ara-sendayan-semi-detached/new-6006/,Cadena III @ Ara Sendayan (Semi-Detached),Semi-detached House  ,0,"Ara Sendayan, Seremban, Negeri Sembilan", From 2398 - 3066 sq. ft., From 2398 - 3066 sq. ft.,4,4," 5,809 ",Residential,N/A,Contact for price, Negeri Sembilan
279,/property/iskandar-puteri-nusajaya/sale-7311144/,"Bukit Indah, Nusajaya, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 488000,"Jalan Indah, Taman Bukit Indah, Bukit Indah, Nusajaya, 79100, Johor", 1400 sq. ft., 1400 sq. ft.,4,3," 2,199 ",2-sty Terrace/Link House,Freehold,-, Johor
280,/property/horizon-hills/sale-7833012/,"Eco Botanic Greenland , Horizon Hills",Semi-detached House | Intermediate  , 1600000,"Eco Botanic. Jalan Eko Botanik, nusajaya, Eco Botanic Greenland , 79100, Johor", 3420 sq. ft., 3420 sq. ft.,4+1,5," 7,211 ",Semi-detached House,Freehold,-, Johor
281,/property/tropicana/sale-8070698/,"Damansara Idaman Villas, Tropicana",Semi-detached House | Intermediate  , 2680000,"Jalan PJU 1A/51 Petaling Jaya, Damansara Idaman Villas, 47500, Selangor", 3600 sq. ft., 3600 sq. ft.,4+1,6," 12,078 ",Semi-detached House,Freehold,-, Selangor
282,/property/cyberjaya/sale-6653447/,"PERDANA LAKEVIEW EAST, Cyberjaya",3-sty Terrace/Link House  , 799000,"Cyberjaya, 63000 Selangor, PERDANA LAKEVIEW EAST, Selangor", 3100 sq. ft., 3100 sq. ft.,5,5," 3,601 ",3-sty Terrace/Link House,Freehold,-, Selangor
283,/property/ampang-hilir/sastra-u-thant/sale-8433979/,"Sastra U-Thant, Taman U-Thant, Ampang Hilir",Condominium  , 1742000,"Lorong Ampang 2, Taman U-Thant, 55000, Kuala Lumpur", 2293 sq. ft., 2293 sq. ft.,4,4," 7,851 ",Condominium,Freehold,-, Kuala Lumpur
284,/property/johor-bahru/sale-8414387/,"Kempas Indah, Kempas, Johor Bahru, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 580000,"Jalan Kempas 7, Kempas Indah, Setia Tropika, Impian Emas, Skudai, Dato Onn, Johor Bahru, Seri Austin, Angerik, Daya, Johor Jaya, Kempas Indah, Kempas, Johor Bahru, 81100, Johor", 2203 sq. ft., 2203 sq. ft.,4,3," 2,614 ",2-sty Terrace/Link House,Freehold,-, Johor
285,/property/segambut/scenaria-north-kiara-hills/sale-8359787/,"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut",Condominium  , 533000,"Jalan 6/38a, Off Jalan Segambut, Taman Sri Sinar, 51200, Kuala Lumpur", 1262 sq. ft., 1262 sq. ft.,3,2," 2,402 ",Condominium,Freehold,-, Kuala Lumpur
286,/property/subang-jaya/main-place-residence/sale-7239635/,"Main Place Residence, Subang Jaya",Serviced Residence  , 665000,"Jalan USJ 21/10, Off LDP Highway, Subang Jaya, 47630, Selangor", 1388 sq. ft., 1388 sq. ft.,3+1,2," 2,997 ",Serviced Residence,-,-, Selangor
287,/property/cheras/altitude-236/sale-8433942/,"Altitude 236, Alam Damai, Cheras",Condominium  , 648900,"Persiaran Alam Damai Off Bukit Manda'rina, Alam Damai, 56000, Kuala Lumpur", 1798 sq. ft., 1798 sq. ft.,3+1,3," 2,924 ",Condominium,Leasehold,-, Kuala Lumpur
288,/property/kuchai-lama/arte-condominium/sale-8409022/,"Arte Condominium, Kuchai Lama",Condominium  , 880000,"Jalan Kuchai Maju 12, Kuchai Lama, 58200, Kuala Lumpur", 1948 sq. ft., 1948 sq. ft.,3+1,3," 3,966 ",Condominium,Unknown,-, Kuala Lumpur
289,/property/ampang/fernlea-court/sale-7884002/,"Fernlea Court, Taman U Thant, Ampang",Condominium  , 1180980,"No. 16, Persiaran Ampang Hilir, Taman U Thant, Taman U Thant, Kuala Lumpur", 3003 sq. ft., 3003 sq. ft.,4,4," 5,322 ",Condominium,Freehold,-, Kuala Lumpur
290,/property/semenyih/sale-6578603/,"Eco Majestic Setia Ecohill @ Angusta, Semenyih",2-sty Terrace/Link House | Intermediate  , 500000,"Eco Majestic Setia Ecohill @ Angusta, 43500, Selangor", 1690 sq. ft., 1690 sq. ft.,4,3," 2,253 ",2-sty Terrace/Link House,Freehold,-, Selangor
291,/new-property/property/seremban/cadena-iii-ara-sendayan/new-5999/,Cadena III @ Ara Sendayan,2-sty Terrace/Link House  ,0,"Ara Sendayan, Seremban, Negeri Sembilan", From 2398 - 3066 sq. ft., From 2398 - 3066 sq. ft.,4,4," 2,970 ",Residential,N/A,From RM 275, Negeri Sembilan
292,/property/semenyih/sale-6547827/,"Eco Majestic Setia Ecohill @ Cradleton, Semenyih",2-sty Terrace/Link House | Intermediate  , 670000,"Jalan Eco Majestic 1, Eco Majestic Setia Ecohill @ Cradleton, 43500, Selangor", 2519 sq. ft., 2519 sq. ft.,4+1,4," 3,020 ",2-sty Terrace/Link House,Freehold,-, Selangor
293,/property/johor-bahru/bora-residences/sale-8232720/,"Bora Residences, Johor Bahru",Condominium | Intermediate  , 550000,"Off Jalan Skudai, Danga Bay, Johor Bahru, Johor, Johor Bahru, Johor", 1029 sq. ft., 1029 sq. ft.,2,2," 2,479 ",Condominium,Freehold,Owner Occupied, Johor
294,/new-property/property/seremban/crisantha-resort-homes-bandar-sri-sendayan/new-5942/,"Crisantha, Resort Homes @ Bandar Sri Sendayan",2-sty Terrace/Link House  ,0,"Bandar Sri Sendayan, Seremban, Negeri Sembilan", From 2863 - 3220 sq. ft., From 2863 - 3220 sq. ft.,4,4," 2,997 ",Residential,N/A,Contact for price, Negeri Sembilan
295,/property/iskandar-puteri-nusajaya/sale-8287726/,"Bukit Indah, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Corner  , 610000,"81200, Bukit Indah, 79100, Johor", 2753 sq. ft., 2753 sq. ft.,4,3," 2,749 ",2-sty Terrace/Link House,Freehold,Owner Occupied, Johor
296,/property/kepong/the-henge/sale-7226196/,"The Henge, Taman Metropolitan Kepong, Kepong",Condominium  , 480000,"Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur", 1100 sq. ft., 1100 sq. ft.,3+1,2," 2,163 ",Condominium,-,-, Kuala Lumpur
297,/property/damansara-utama/sale-5460486/,"Jalan ss21/36, Damansara Utama, Damansara Utama",2-sty Terrace/Link House | EndLot  , 990000,"Jalan ss21/36, Damansara Utama, 47400, Selangor", 2200 sq. ft., 2200 sq. ft.,3+1,3," 4,462 ",2-sty Terrace/Link House,Freehold,-, Selangor
298,/new-property/property/sepang/serenia-city-serenia-arina/new-6004/,Serenia City : Serenia Arina,2-sty Terrace/Link House  ,0,"Serenia City, Sepang, Selangor", From 1946 - 2152 sq. ft., From 1946 - 2152 sq. ft.,4,4," 2,834 ",Residential,N/A,Contact for price, Selangor
299,/property/usj/sale-8433982/,"USJ14, USJ 14, USJ, Subang Jaya, USJ",2-sty Terrace/Link House | Corner  , 950000,"USJ14, USJ13, USJ12, USJ6, USJ2, USJ3, USJ, USJ14, USJ 14, USJ, Subang Jaya, 47630, Selangor", -, -,4,3," 4,282 ",2-sty Terrace/Link House,-,-, Selangor
300,/property/cyberjaya/sale-8414139/,"Sejati Lakeside Residences @ Cyberjaya, Cyberjaya",2-sty Terrace/Link House  , 760000,"CyberJaya, Sejati Lakeside Residences @ Cyberjaya, Selangor", 2584 sq. ft., 2584 sq. ft.,4,4," 3,425 ",2-sty Terrace/Link House,-,-, Selangor
301,/property/puchong/sale-8406875/,"Kinrara Residence, Puchong",Bungalow | Corner  , 3888888,"Taman Damai Utama, Kinrara Residence, 47180, Selangor", 5908 sq. ft., 5908 sq. ft.,6+1,7," 17,527 ",Bungalow,Leasehold,-, Selangor
302,/new-property/property/kl-city/the-birch/new-5996/,The Birch,Serviced Residence  ,0,"Jalan Kasipillay, KL City, Kuala Lumpur", From 611 - 983 sq. ft., From 611 - 983 sq. ft.,2 - 4,2," 1,568 ",Residential,N/A,Contact for price, Kuala Lumpur
303,/property/iskandar-puteri-nusajaya/sale-8413289/,"Bukit Indah 10 - Nx To JUSCO - Full Loan, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 559000,"Jalan Indah 10/x, Taman Bukit Indah, Bukit Indah 10 - Nx To JUSCO - Full Loan, 79100, Johor", 1600 sq. ft., 1600 sq. ft.,4,3," 2,519 ",2-sty Terrace/Link House,Freehold,-, Johor
304,/property/kl-city/expressionz-professional-suites/sale-8405853/,"Expressionz Professional Suites, KL City",Serviced Residence  , 958000,"Jalan 1/65A, Off Jalan Tun Razak, KL City, 50400, Kuala Lumpur", 651 sq. ft., 651 sq. ft.,2,2," 4,318 ",Serviced Residence,Leasehold,-, Kuala Lumpur
305,/property/usj-heights/sale-7743269/,"USJ Heights, USJ, Subang Jaya, USJ Heights",Bungalow | Intermediate  , 2450000,"USJ Heights Indigo, USJ, Subang Jaya, USJ Heights, USJ, Subang Jaya, 47600, Selangor", 4044 sq. ft., 4044 sq. ft.,5+1,6," 11,042 ",Bungalow,Freehold,-, Selangor
306,/property/ipoh/sale-8414093/,"Bandar Meru Raya, Ipoh , Ipoh",Semi-detached House | Intermediate  , 628800,"Bandar Meru Raya, Ipoh , Perak", -, -,4,3," 2,834 ",Semi-detached House,Freehold,-, Perak
307,/property/kota-kemuning/sale-7382477/,"Bandar Rimbayu, Chimes, Kota Kemuning, Kota Kemuning",2-sty Terrace/Link House | Intermediate  , 699000,"Chimes Perennia Livia Penduline Scarlet Wisteria Periwinkle, Bandar Rimbayu, Chimes, Kota Kemuning, 42500, Selangor", 2322 sq. ft., 2322 sq. ft.,4+1,5," 3,150 ",2-sty Terrace/Link House,Leasehold,-, Selangor
308,/property/klcc/aria/sale-8280618/,"Aria, KLCC",Condominium | Intermediate  , 1927704,"Jalan Tun Razak, KLCC, 50450, Kuala Lumpur", 1159 sq. ft., 1159 sq. ft.,2+1,2," 8,688 ",Condominium,Freehold,-, Kuala Lumpur
309,/property/usj/sale-8434054/,"USJ12, USJ 12, Subang Jaya, USJ",2-sty Terrace/Link House | Intermediate  , 608000,"USJ12, USJ3, USJ6, USJ13, USJ2, USJ4, USJ9, USJ12, USJ 12, Subang Jaya, 47600, Selangor", -, -,3,3," 2,740 ",2-sty Terrace/Link House,Freehold,-, Selangor
310,/property/bukit-bintang/bintang-fairlane-residences/sale-6552449/,"Bintang Fairlane Residences, Bukit Bintang",Serviced Residence  , 1000000,"Jalan Padang Walter Grenier, Bukit Bintang, 55100, Kuala Lumpur", 910 sq. ft., 910 sq. ft.,2,1," 4,507 ",Serviced Residence,Freehold,-, Kuala Lumpur
311,/property/intan/sale-8414049/,"Bandar Meru Raya, Ipoh , Intan",2-sty Terrace/Link House | Corner  , 513660,"Bandar Meru Raya, Ipoh , Perak", 1200 sq. ft., 1200 sq. ft.,3+2,3," 2,315 ",2-sty Terrace/Link House,Freehold,-, Perak
312,/property/bukit-jalil/the-rainz/sale-6656567/,"The Rainz, Bukit Jalil",Condominium  , 1090000,"Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur", 1772 sq. ft., 1772 sq. ft.,4+1,4," 4,912 ",Condominium,Freehold,-, Kuala Lumpur
313,/property/bukit-jalil/the-rainz/sale-6592144/,"The Rainz, Bukit Jalil",Condominium  , 1100000,"Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur", 1930 sq. ft., 1930 sq. ft.,5+1,4," 4,958 ",Condominium,Freehold,-, Kuala Lumpur
314,/property/bukit-jalil/the-rainz/sale-6592032/,"The Rainz, Bukit Jalil",Condominium  , 878000,"Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur", 1513 sq. ft., 1513 sq. ft.,4+1,3," 3,957 ",Condominium,Freehold,-, Kuala Lumpur
315,/new-property/property/klang/bandar-bukit-raja-laman-lakeside/new-6000/,Bandar Bukit Raja : Laman Lakeside,Semi-detached House  ,0,"Bandar Bukit Raja, Klang, Selangor", From 3106 - 4500 sq. ft., From 3106 - 4500 sq. ft.,6,5 - 6," 6,760 ",Residential,N/A,Contact for price, Selangor
316,/property/mont-kiara/kiara-designer-suites/sale-8414042/,"Kiara Designer Suites, Mont Kiara",Serviced Residence  , 650000,"Jalan Kiara 3, Mont Kiara, 50480, Kuala Lumpur", -, -,3,2," 2,929 ",Serviced Residence,Freehold,-, Kuala Lumpur
317,/property/damansara-utama/sale-7689795/,"SS21 SS 21 Damansara Kim, Damansara Utama",2-sty Terrace/Link House | Intermediate  , 990000,"Petaling Jaya, SS21 SS 21 Damansara Kim, Selangor", 1800 sq. ft., 1800 sq. ft.,3+1,3," 4,462 ",2-sty Terrace/Link House,Freehold,-, Selangor
318,/new-property/property/kuchai-lama/m-oscar/new-5997/,M Oscar,Serviced Residence  ,0,"Kuchai Lama, Kuala Lumpur", From 708 - 1198 sq. ft., From 708 - 1198 sq. ft.,2 - 4,2 - 3," 1,929 ",Commercial,N/A,From RM 650, Kuala Lumpur
319,/property/ss-2/sale-7503486/,"ss2, ss 2 Bomba Side, SS2",2-sty Terrace/Link House | Intermediate  , 1180000,"ss2, ss 2 Bomba Side, Selangor", 1800 sq. ft., 1800 sq. ft.,4+1,3," 5,318 ",2-sty Terrace/Link House,Freehold,-, Selangor
320,/property/ipoh/sale-8413884/,"Pengkalan , ipoh , Ipoh",2-sty Terrace/Link House | Intermediate  , 368000,"Pengkalan , ipoh , Perak", -, -,4,3," 1,659 ",2-sty Terrace/Link House,Leasehold,-, Perak
321,/property/usj/sale-7310834/,"Usj 4 , usj4 subang, USJ",2-sty Terrace/Link House | Intermediate  , 760000,"Usj 4 , usj4 subang, Selangor", 1450 sq. ft., 1450 sq. ft.,3+1,3," 3,425 ",2-sty Terrace/Link House,Freehold,-, Selangor
322,/new-property/property/seremban/lunaria-3-resort-homes-bandar-sri-sendayan/new-5639/,"Lunaria 3, Resort Homes @ Bandar Sri Sendayan",2-sty Terrace/Link House  ,0,"Bandar Sri Sendayan, Seremban, Negeri Sembilan", From 3164 sq. ft., From 3164 sq. ft.,4,4," 3,375 ",Residential,N/A,Contact for price, Negeri Sembilan
323,/property/damansara-jaya/sale-7261638/,"ss22 ss 22, Damansara Jaya",2-sty Terrace/Link House | Intermediate  , 1550000,"ss22 ss 22, 47400, Selangor", 1700 sq. ft., 1700 sq. ft.,3+1,3," 6,986 ",2-sty Terrace/Link House,Freehold,-, Selangor
324,/property/bayan-lepas/sale-7169706/,"Tierra Residences , Bayan Lepas",3-sty Terrace/Link House | Intermediate  , 1298000,"jalan dato ismail hashim, Tierra Residences , 11900, Penang", 2872 sq. ft., 2872 sq. ft.,4+1,4," 5,850 ",3-sty Terrace/Link House,Freehold,-, Penang
325,/property/petaling-jaya/sale-7668375/,"Ss2 ss 2, Petaling Jaya",Bungalow | Intermediate  , 2850000,"Ss2 ss 2, Selangor", 6096 sq. ft., 6096 sq. ft.,4+1,4," 12,845 ",Bungalow,Freehold,-, Selangor
326,/new-property/property/pengerang/precint-1-the-maris-desaru-coast/new-5875/,Precint 1 The Maris Desaru Coast,2-sty Terrace/Link House,0,"Desaru Coast, Pengerang, Johor", -, -,0,0, 0 ,Residential,N/A,Contact for price, Johor
327,/property/bangsar/sale-8170069/,"Terasek, Telawi, Bangsar",2-sty Terrace/Link House | Intermediate  , 2380000,"Bangsar Baru, Terasek, Telawi, Kuala Lumpur", 2500 sq. ft., 2500 sq. ft.,4,3," 10,726 ",2-sty Terrace/Link House,Freehold,-, Kuala Lumpur
328,/property/bangsar/sale-7313702/,"Terasek , Bangsar Baru, Bangsar",2-sty Terrace/Link House | Intermediate  , 1650000,"Terasek, Terasek , Bangsar Baru, Kuala Lumpur", 1800 sq. ft., 1800 sq. ft.,4,3," 7,436 ",2-sty Terrace/Link House,Freehold,-, Kuala Lumpur
329,/property/kampung-kerinchi-bangsar-south/kl-gateway-residences/sale-5198618/,"KL Gateway Residences, Bangsar South, Kampung Kerinchi (Bangsar South)",Serviced Residence  , 490000,"Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur", 520 sq. ft., 520 sq. ft.,1,1," 2,208 ",Serviced Residence,Leasehold,-, Kuala Lumpur
330,/property/setia-tropika/sale-8413596/,"Taman Kempas Utama, Setia Tropika",2.5-sty Terrace/Link House | Intermediate  , 750000,"Setia Tropika, Taman Kempas Utama, Johor", -, -,5+1,4," 3,380 ",2.5-sty Terrace/Link House,Freehold,-, Johor
331,/property/kampung-kerinchi-bangsar-south/kl-gateway-premium-residences/sale-7541809/,"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)",Serviced Residence | Corner  , 1280000,"Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur", 1200 sq. ft., 1200 sq. ft.,2+1,2," 5,769 ",Serviced Residence,Leasehold,-, Kuala Lumpur
332,/property/bandar-utama/sale-7319225/,"bu2, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1330000,"jalan bu2, bu2, 47800, Selangor", 2300 sq. ft., 2300 sq. ft.,4,3," 5,994 ",2-sty Terrace/Link House,Freehold,-, Selangor
333,/property/bandar-utama/sale-6994651/,"bu2, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1250000,"jalan bu2, bu2, 47800, Selangor", 2300 sq. ft., 2300 sq. ft.,4,3," 5,634 ",2-sty Terrace/Link House,Freehold,-, Selangor
334,/property/bandar-utama/sale-6543675/,"bu4, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1250000,"Jalan bu4, bu4, 47800, Selangor", 2300 sq. ft., 2300 sq. ft.,4,3," 5,634 ",2-sty Terrace/Link House,Freehold,-, Selangor
335,/property/bandar-utama/sale-8254356/,"bu11, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1250000,"jalan bu11, bu11, 47800, Selangor", 2300 sq. ft., 2300 sq. ft.,4+1,3," 5,634 ",2-sty Terrace/Link House,Freehold,-, Selangor
336,/property/bandar-utama/sale-8254356/,"bu11, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1250000,"jalan bu11, bu11, 47800, Selangor", 2300 sq. ft., 2300 sq. ft.,4+1,3," 5,634 ",2-sty Terrace/Link House,Freehold,-, Selangor
337,/property/bandar-utama/sale-8072712/,"bu6, Bandar Utama",2.5-sty Terrace/Link House | Intermediate  , 1630000,"jalan bu6, bu6, 47800, Selangor", 3000 sq. ft., 3000 sq. ft.,5,4," 7,346 ",2.5-sty Terrace/Link House,Freehold,-, Selangor
338,/property/ayer-keroh/sale-8413433/,Ayer Keroh,2-sty Terrace/Link House  , 475000,Melaka, -, -,4,3," 2,141 ",2-sty Terrace/Link House,Freehold,-, Melaka
339,/new-property/property/pasir-gudang/the-orchid/new-5998/,The Orchid,2-sty Terrace/Link House  ,0,"Meridin East, Pasir Gudang, Johor", From 1782 sq. ft., From 1782 sq. ft.,4,3," 2,087 ",Residential,N/A,Contact for price, Johor
340,/property/iskandar-puteri-nusajaya/sale-8413421/,"Bukit Indah 11 - Gated Guarded - Cluster Semi-D, Iskandar Puteri (Nusajaya)",Cluster House | Intermediate  , 880000,"Jalan Indah 11, Bukit Indah 11 - Gated Guarded - Cluster Semi-D, 81200, Johor", 2457 sq. ft., 2457 sq. ft.,4+1,5," 3,966 ",Cluster House,Freehold,-, Johor
341,/property/sunway-spk/sale-8159366/,"Sunway SPK Damansara , Sunway SPK",2-sty Terrace/Link House  , 2398000,"Sunway SPK Damansara , 52100, Kuala Lumpur", -, -,4+1,3," 10,807 ",2-sty Terrace/Link House,Freehold,-, Kuala Lumpur
342,/new-property/property/cheras/m-vertica/new-5466/,M Vertica,Serviced Residence  ,0,"Kuala Lumpur, Cheras, Kuala Lumpur", From 850 - 1000 sq. ft., From 850 - 1000 sq. ft.,3 - 4,2," 2,163 ",Commercial,N/A,From RM 530, Kuala Lumpur
343,/property/iskandar-puteri-nusajaya/sale-8413217/,"Bukit Indah - Jalan Indah 1 - FULL LOAN, Iskandar Puteri (Nusajaya)",1-sty Terrace/Link House | Intermediate  , 418000,"Jalan Indah 1/3, Bukit Indah - Jalan Indah 1 - FULL LOAN, 8100, Johor", 1400 sq. ft., 1400 sq. ft.,3,2," 1,884 ",1-sty Terrace/Link House,Freehold,-, Johor
344,/property/petaling-jaya/the-arcuz/sale-8413184/,"The Arcuz, Kelana Jaya, Petaling Jaya",Serviced Residence  , 709000,"Jalan PJU 1a/4f, Kelana Jaya, 47301, Selangor", 753 sq. ft., 753 sq. ft.,2,1," 3,195 ",Serviced Residence,Leasehold,-, Selangor
345,/property/tanjung-bungah/marina-tower-ratu-mutiara/sale-7264843/,"Marina Tower (Ratu Mutiara), Tanjong Bungah, Tanjung Bungah",Condominium | Intermediate  , 640000,"No. 1 & 3, Persiaran Tanjung Bungah, Tanjong Bungah, 11200, Penang", 1150 sq. ft., 1150 sq. ft.,3,2," 2,884 ",Condominium,Freehold,-, Penang
346,/new-property/property/semenyih/woodbury-at-mahkota-hills/new-5991/,Woodbury at Mahkota Hills,2-sty Terrace/Link House  ,0,"Mahkota Hills, Semenyih, Selangor", From 1577 - 1790 sq. ft., From 1577 - 1790 sq. ft.,3 - 4,2 - 3," 1,821 ",Residential,N/A,From RM 267 - RM 284, Selangor
347,/property/kota-kemuning/sale-5478462/,"Kota Kemuning Shah Alam, Kota Kemuning",Semi-detached House  , 1690000,"Kota Kemuning Shah Alam, 40460, Selangor", 4654 sq. ft., 4654 sq. ft.,7,8," 7,617 ",Semi-detached House,Leasehold,-, Selangor
348,/property/semenyih/sale-6666666/,"Eco Majestic Cradleton , Semenyih",2-sty Terrace/Link House | Intermediate  , 570000,"Jalan Eco Majestic 1, Eco Majestic Cradleton , 43500, Selangor", 2019 sq. ft., 2019 sq. ft.,4,3," 2,569 ",2-sty Terrace/Link House,Freehold,-, Selangor
349,/property/subang-jaya/sale-8193790/,"SS17, Subang Jaya",2-sty Terrace/Link House | Intermediate  , 830000,"SS17, Selangor", 2000 sq. ft., 2000 sq. ft.,5,3," 3,741 ",2-sty Terrace/Link House,Freehold,-, Selangor
350,/new-property/property/kluang/eucomis-impiana-bayu/new-5964/,EUCOMIS @ IMPIANA BAYU,2-sty Terrace/Link House  ,0,"BANDAR SERI IMPIAN, Kluang, Johor", From 2474 sq. ft., From 2474 sq. ft.,0 - 4,0 - 4," 2,474 ",Residential,N/A,Contact for price, Johor
351,/property/bandar-sunway/sale-8412989/,"PJS 9, Sunway Tiara, PJS9, Bandar Sunway",2-sty Terrace/Link House | Intermediate  , 998000,"jalan pjs 9/1h, Bandar Sunway, PJS 9, Sunway Tiara, PJS9, Selangor", 1800 sq. ft., 1800 sq. ft.,4,3," 4,498 ",2-sty Terrace/Link House,Leasehold,-, Selangor
352,/property/iskandar-puteri-nusajaya/sale-7862414/,"Nusa Idaman, Iskandar Puteri, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 672000,"jalan idaman, Nusa idaman, Nusa Idaman, Iskandar Puteri, 79100, Johor", 2900 sq. ft., 2900 sq. ft.,4+1,4," 3,029 ",2-sty Terrace/Link House,Freehold,-, Johor
353,/property/iskandar-puteri-nusajaya/sale-7091873/,"Davenham,Eco Botanic, Iskandar Puteri, Iskandar Puteri (Nusajaya)",Cluster House | Intermediate  , 960000,"eko botani, Eco Botanic, Davenham,Eco Botanic, Iskandar Puteri, 79100, Johor", 2340 sq. ft., 2340 sq. ft.,5,5," 4,327 ",Cluster House,Freehold,-, Johor
354,/property/iskandar-puteri-nusajaya/sale-7609736/,"Eco Botanic, Iskandar Puteri, Iskandar Puteri (Nusajaya)",Cluster House | Intermediate  , 1150000,"jalan eko botani, Eco Botanic, Iskandar Puteri, 79100, Johor", 3120 sq. ft., 3120 sq. ft.,4+1,5," 5,183 ",Cluster House,Freehold,-, Johor
355,/property/tropicana/sale-8198938/,"tropicana golf and country resort, Tropicana",Semi-detached House | Intermediate  , 2880000,"tropicana indah, jalan tr 2, tropicana golf and country resort, 47410, Selangor", 4200 sq. ft., 4200 sq. ft.,5+1,5," 12,980 ",Semi-detached House,Leasehold,-, Selangor
356,/property/tropicana/sale-6517041/,"Tropicana Golf and County Resort, Tropicana",Bungalow | Corner  , 6180000,"47410, Tropicana Golf and County Resort, 47410, Selangor", 7400 sq. ft., 7400 sq. ft.,8,10," 27,852 ",Bungalow,Leasehold,-, Selangor
357,/property/wangsa-maju/quinn-residence/sale-8398617/,"Quinn Residence, Taman Wangsa Maju, Wangsa Maju",Condominium  , 444800,"Jalan Wangsa Perdana 1, Taman Wangsa Maju, 53300, Kuala Lumpur", -, -,4,2," 2,005 ",Condominium,-,-, Kuala Lumpur
358,/property/wangsa-maju/quinn-residence/sale-8398609/,"Quinn Residence, Taman Wangsa Maju, Wangsa Maju",Condominium  , 444800,"Jalan Wangsa Perdana 1, Taman Wangsa Maju, 53300, Kuala Lumpur", -, -,3+1,2," 2,005 ",Condominium,-,-, Kuala Lumpur
359,/property/desa-petaling/vantage-point-menang-ria/sale-8412960/,"Vantage Point (Menang Ria), Taman Desa Petaling, Desa Petaling",Apartment  , 299000,"Jalan 4/125, Taman Desa Petaling, 57100, Kuala Lumpur", 886 sq. ft., 886 sq. ft.,3,2," 1,348 ",Apartment,Freehold,-, Kuala Lumpur
360,/property/ulu-klang/upperville-16-quartz/sale-8412933/,"Upperville @ 16 Quartz, Ulu Klang",Condominium  , 707000,"Jalan Melawati 7B, Ulu Klang, 6800, Selangor", 1050 sq. ft., 1050 sq. ft.,3,2," 3,186 ",Condominium,-,-, Selangor
361,/property/bandar-kinrara/sale-8435439/,"BK 5, Bandar Kinrara",2-sty Terrace/Link House  , 720000,"BK 5, 47810, Selangor", 1623 sq. ft., 1623 sq. ft.,4,3," 3,245 ",2-sty Terrace/Link House,Freehold,-, Selangor
362,/property/kota-kemuning/sale-8435418/,"Bukit Rimau Seksyen 32/x, Kota Kemuning",2-sty Terrace/Link House  , 1280000,"Bukit Rimau Seksyen 32/x, 40460, Selangor", 3500 sq. ft., 3500 sq. ft.,6+1,5," 5,769 ",2-sty Terrace/Link House,Freehold,-, Selangor
